Bin	Label	Prob	Compound Name	Rank	Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Positive	0.979	[PNNLMET0027] D-threitol [13.128]	1	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Negative	0.354	[913] halostachine 2 [13.201]	2	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Negative	0.062	[78092] 3-isochromanone [13.248]	4	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Negative	0.034	[3314] eugenol [12.761]	5	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Negative	0.004	[568] dibenzofuran [13.402]	7	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Negative	0.018	[13000987] L-phenylalanine-phenyl-d5-2,3,3-d3 1 [13.496]	6	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Negative	0.07	[151491] 3-(1-pyrazolyl)-L-alanine  [13.511]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 55	True Negative	0.002	[PNNLMET0011] m-anisic acid [12.756]	8	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 56	True Positive	1	[PNNLMET0026] erythritol [13.176]	1	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 56	True Negative	0	[78092] 3-isochromanone [13.248]	6	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 56	True Negative	0.006	[913] halostachine 2 [13.201]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 56	True Negative	0.001	[568] dibenzofuran [13.402]	5	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 56	True Negative	0.002	[3314] eugenol [12.761]	4	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 56	True Negative	0.008	[13000987] L-phenylalanine-phenyl-d5-2,3,3-d3 1 [13.496]	2	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 56	True Negative	0	[151491] 3-(1-pyrazolyl)-L-alanine  [13.511]	6	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 71	True Positive	1	[PNNLMET0078] D-lyxose 2[M] [15.117]	1	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 71	True Negative	0	[2191] anabasine [15.142]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 71	True Negative	0	[62388] methyljasmonate 1 [15.157]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 71	True Negative	0.003	[16217724] L-asparagine-15N2,d8 3 [14.975]	2	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 71	True Negative	0	[7913] biuret 1 [15.453]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 71	True Negative	0	[75318] monoethyl phthalate [14.840]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 71	True Negative	0	[8370] hexachlorobenzene [15.537]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Positive	1	[6912] xylitol [15.701]	1	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0	[62388] methyljasmonate 4 [15.883]	5	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0.006	[17262] guaiacylacetone 2 [15.636]	3	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0	[62388] methyljasmonate 3 [15.63]	5	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0	[62388] methyljasmonate 2 [15.63]	5	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0	[17262] guaiacylacetone 1 [15.576]	5	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0.016	[7913] biuret 2 [16.111]	2	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0.001	[8370] hexachlorobenzene [15.537]	4	Full Model
UDN_BG_A_C_Mayo011_pool_M_001 & 75	True Negative	0	[145900] omeprazole sulfone [16.151]	5	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 42	True Positive	1	L-threonine [major]	1	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 42	True Negative	0	[369312] (-)-perillyl alcohol  [11.693]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 42	True Negative	0	[237332] 5-hydroxymethylfurfural [11.706]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 42	True Negative	0	[80922] 3,4,5-trimethoxytoluene [11.694]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 42	True Negative	0	[68490] 2-hydroxyacetophenone 1 [12.084]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 42	True Negative	0	[913] halostachine 1 [11.202]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 72	True Positive	1	[11005] myristic acid [16.887]	1	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 72	True Negative	0	[5281166] jasmonic acid [16.962]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 72	True Negative	0	[8400] benzoin 2 [17.102]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 100	True Positive	0.995	D-glucose [minor]	1	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 100	True Negative	0	[16213445] L-tyrosine-3,3-d2 2 [17.791]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 120	True Positive	1	[892] myo-inositol [19.707]	1	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 120	True Negative	0	[10251] flavonone 2 [19.519]	3	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 120	True Negative	0.001	[10251] flavanone 2 [19.49]	2	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 120	True Negative	0	[10251] flavonone 1 [19.39]	3	Full Model
UDN_BG_A_C_Mayo014_pool_M_029 & 120	True Negative	0	[10251] flavanone 1 [19.36]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 10	True Positive	0.88	L-alanine [major]	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 10	True Negative	0.098	[12205373] L-alanine-2,3,3,3-d4 [7.449]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 47	True Positive	1	[PNNLMET0026] erythritol [13.176]	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 47	True Negative	0.002	[78092] 3-isochromanone [13.248]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 47	True Negative	0	[913] halostachine 2 [13.201]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 47	True Negative	0	[568] dibenzofuran [13.402]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 47	True Negative	0	[3314] eugenol [12.761]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 47	True Negative	0	[13000987] L-phenylalanine-phenyl-d5-2,3,3-d3 1 [13.496]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 47	True Negative	0.002	[151491] 3-(1-pyrazolyl)-L-alanine  [13.511]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 51	True Positive	1	[588] Creatinine [13.825]	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 51	True Negative	0	[660] dihydrocoumarin 2 [13.669]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 51	True Negative	0	[151491] 3-(1-pyrazolyl)-L-alanine  [13.511]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 51	True Negative	0.001	[13000987] L-phenylalanine-phenyl-d5-2,3,3-d3 1 [13.496]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 58	True Positive	0.998	[PNNLMET0078] D-lyxose 2[M] [15.117]	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 58	True Negative	0	[2191] anabasine [15.142]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 58	True Negative	0	[62388] methyljasmonate 1 [15.157]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 58	True Negative	0.013	[16217724] L-asparagine-15N2,d8 3 [14.975]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 58	True Negative	0	[7913] biuret 1 [15.453]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 58	True Negative	0	[75318] monoethyl phthalate [14.840]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 58	True Negative	0	[8370] hexachlorobenzene [15.537]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 70	True Positive	1	citric acid	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 70	True Negative	0.002	[5281166] jasmonic acid [16.962]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 70	True Negative	0	[8400] benzoin 2 [17.102]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 70	True Negative	0.09	[8400] benzoin 1 [16.532]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 82	True Positive	0.846	D-fructose [major]	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 82	True Negative	0.018	[441035] talose 2 [17.584]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 82	True Negative	0.001	[16217112] D-glucose-C-d7  2 [17.604]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 82	True Negative	0	[16213445] L-tyrosine-3,3-d2 2 [17.791]	6	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 82	True Negative	0.001	[441035] talose 1 [17.4]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 82	True Negative	0	[16213445] L-tyrosine-3,3-d2 1 [17.352]	6	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 82	True Negative	0.011	[16217112] D-glucose-C-d7   1 [17.411]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 98	True Positive	1	[6251] D-mannitol [18.130]	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 98	True Negative	0	[6854] carbazole 2 [18.387]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 98	True Negative	0	[5280567] 4-methylumbelliferone [18.399]	4	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 98	True Negative	0.001	[16213445] L-tyrosine-3,3-d2 2 [17.791]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 98	True Negative	0.001	[5280567] 4-methylumbelliferone [18.491]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 115	True Positive	1	[892] myo-inositol [19.707]	1	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 115	True Negative	0	[10251] flavonone 2 [19.519]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 115	True Negative	0	[10251] flavanone 2 [19.49]	3	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 115	True Negative	0.001	[10251] flavonone 1 [19.39]	2	Full Model
UDN_BG_A_C_Mayo015_pool_M_004 & 115	True Negative	0	[10251] flavanone 1 [19.36]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 17	True Positive	0.78	L-alanine [major]	1	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 17	True Negative	0.002	[12205373] L-alanine-2,3,3,3-d4 [7.449]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 53	True Positive	1	L-threonine [major]	1	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 53	True Negative	0	[369312] (-)-perillyl alcohol  [11.693]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 53	True Negative	0	[237332] 5-hydroxymethylfurfural [11.706]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 53	True Negative	0	[80922] 3,4,5-trimethoxytoluene [11.694]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 53	True Negative	0.001	[68490] 2-hydroxyacetophenone 1 [12.084]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 63	True Positive	0.957	[588] Creatinine [13.825]	1	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 63	True Negative	0.004	[660] dihydrocoumarin 2 [13.669]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 63	True Negative	0.003	[151491] 3-(1-pyrazolyl)-L-alanine  [13.511]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 63	True Negative	0	[13000987] L-phenylalanine-phenyl-d5-2,3,3-d3 1 [13.496]	4	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Positive	1	[6912] xylitol [15.701]	1	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0	[62388] methyljasmonate 4 [15.883]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0	[17262] guaiacylacetone 2 [15.636]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0	[62388] methyljasmonate 3 [15.63]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0	[62388] methyljasmonate 2 [15.63]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0.001	[17262] guaiacylacetone 1 [15.576]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0	[7913] biuret 2 [16.111]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0	[8370] hexachlorobenzene [15.537]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 72	True Negative	0	[145900] omeprazole sulfone [16.151]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 107	True Positive	1	[6251] D-mannitol [18.130]	1	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 107	True Negative	0.002	[6854] carbazole 2 [18.387]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 107	True Negative	0	[5280567] 4-methylumbelliferone [18.399]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 107	True Negative	0	[16213445] L-tyrosine-3,3-d2 2 [17.791]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 107	True Negative	0	[5280567] 4-methylumbelliferone [18.491]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 108	True Positive	1	[PNNLMET0022] galactitol [18.196]	1	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 108	True Negative	0	[6854] carbazole 2 [18.387]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 108	True Negative	0	[5280567] 4-methylumbelliferone [18.399]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 108	True Negative	0	[5280567] 4-methylumbelliferone [18.491]	2	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 119	True Positive	1	[892] scyllo-inositol [19.101]	1	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 119	True Negative	0.005	[10251] flavanone 1 [19.36]	3	Full Model
UDN_BG_A_C_Mayo025_pool_M_006 & 119	True Negative	0.008	[10251] flavonone 1 [19.39]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 45	True Positive	1	L-threonine [major]	1	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 45	True Negative	0	[369312] (-)-perillyl alcohol  [11.693]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 45	True Negative	0	[237332] 5-hydroxymethylfurfural [11.706]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 45	True Negative	0	[80922] 3,4,5-trimethoxytoluene [11.694]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 45	True Negative	0	[68490] 2-hydroxyacetophenone 1 [12.084]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 66	True Positive	1	[PNNLMET0078] D-lyxose 2[M] [15.117]	1	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 66	True Negative	0	[2191] anabasine [15.142]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 66	True Negative	0	[62388] methyljasmonate 1 [15.157]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 66	True Negative	0.001	[16217724] L-asparagine-15N2,d8 3 [14.975]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 66	True Negative	0	[7913] biuret 1 [15.453]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 66	True Negative	0	[75318] monoethyl phthalate [14.840]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 66	True Negative	0	[8370] hexachlorobenzene [15.537]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Positive	1	[6912] xylitol [15.701]	1	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0	[62388] methyljasmonate 4 [15.883]	4	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0	[17262] guaiacylacetone 2 [15.636]	4	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0.001	[62388] methyljasmonate 3 [15.63]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0	[62388] methyljasmonate 2 [15.63]	4	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0	[17262] guaiacylacetone 1 [15.576]	4	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0	[7913] biuret 2 [16.111]	4	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0	[8370] hexachlorobenzene [15.537]	4	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 69	True Negative	0.002	[145900] omeprazole sulfone [16.151]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 81	True Positive	1	citric acid	1	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 81	True Negative	0.017	[5281166] jasmonic acid [16.962]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 81	True Negative	0.006	[8400] benzoin 2 [17.102]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 81	True Negative	0	[8400] benzoin 1 [16.532]	4	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 125	True Positive	1	[892] myo-inositol [19.707]	1	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 125	True Negative	0	[10251] flavonone 2 [19.519]	3	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 125	True Negative	0.001	[10251] flavanone 2 [19.49]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 127	True Positive	1	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]	1	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 127	True Negative	0	[4114] xanthotoxin 2 [20.715]	2	Full Model
UDN_BG_A_C_Mayo034_pool_M_007 & 127	True Negative	0	[3806] juglone [20.507]	2	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 13	False Negative	0.441	L-alanine [major]	1	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 13	True Negative	0.015	[12205373] L-alanine-2,3,3,3-d4 [7.449]	2	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Positive	1	[6912] xylitol [15.701]	1	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0	[62388] methyljasmonate 4 [15.883]	3	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0	[17262] guaiacylacetone 2 [15.636]	3	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0	[62388] methyljasmonate 3 [15.63]	3	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0	[62388] methyljasmonate 2 [15.63]	3	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0	[17262] guaiacylacetone 1 [15.576]	3	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0.004	[7913] biuret 2 [16.111]	2	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0	[8370] hexachlorobenzene [15.537]	3	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 73	True Negative	0	[145900] omeprazole sulfone [16.151]	3	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 84	True Positive	1	[11005] myristic acid [16.887]	1	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 84	True Negative	0	[5281166] jasmonic acid [16.962]	2	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 84	True Negative	0	[8400] benzoin 2 [17.102]	2	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 129	True Positive	1	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]	1	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 129	True Negative	0	[4114] xanthotoxin 2 [20.715]	2	Full Model
UDN_BG_A_C_Mayo044_pool_M_002 & 129	True Negative	0	[3806] juglone [20.507]	2	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 12	True Positive	0.963	L-alanine [major]	1	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 12	True Negative	0	[12205373] L-alanine-2,3,3,3-d4 [7.449]	2	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 45	True Positive	1	L-threonine [major]	1	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 45	True Negative	0	[369312] (-)-perillyl alcohol  [11.693]	4	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 45	True Negative	0	[237332] 5-hydroxymethylfurfural [11.706]	4	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 45	True Negative	0	[80922] 3,4,5-trimethoxytoluene [11.694]	4	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 45	True Negative	0.001	[68490] 2-hydroxyacetophenone 1 [12.084]	3	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 45	True Negative	0.002	[913] halostachine 1 [11.202]	2	Full Model
UDN_BG_A_C_Mayo049_pool_M_025 & 49	True Positive	1	[PNNLMET0027] D-threitol [13.128]	1	Full Model
